LineName,ConductorName,Voltage_kV,Ta,WindVelocity,WindAngleDeg,SunTime,Date,Emissivity,Absorptivity,Direction,Atmosphere,Elevation,Latitude,Rating_Amps,Rating_MVA
ALOHA138 (1)  TO  HONOLULU138 (5) CKT 1,795 ACSR 26/7 DRAKE,138.0,25,2.0,90,0,12 Jun,0.8,0.8,EastWest,Clear,1000,27,1874.7854755358192,448.11687017498997
ALOHA138 (1)  TO  HONOLULU138 (5) CKT 2,795 ACSR 26/7 DRAKE,138.0,25,2.0,90,0,12 Jun,0.8,0.8,EastWest,Clear,1000,27,1874.7854755358192,448.11687017498997
ALOHA138 (1)  TO  WAIPAHU138 (22) CKT 1,556.5 ACSR 26/7 DOVE,138.0,25,2.0,90,0,12 Jun,0.8,0.8,EastWest,Clear,1000,27,1452.4060852490304,347.1584763365478
ALOHA138 (1)  TO  EWA BEACH138 (25) CKT 1,795 ACSR 26/7 DRAKE,138.0,25,2.0,90,0,12 Jun,0.8,0.8,EastWest,Clear,1000,27,1874.7854755358192,448.11687017498997
ALOHA138 (1)  TO  EWA BEACH138 (25) CKT 2,795 ACSR 26/7 DRAKE,138.0,25,2.0,90,0,12 Jun,0.8,0.8,EastWest,Clear,1000,27,1874.7854755358192,448.11687017498997
ALOHA138 (1)  TO  KALAELOA138 (35) CKT 1,1272 ACSR 45/7 BITTERN,138.0,25,2.0,90,0,12 Jun,0.8,0.8,EastWest,Clear,1000,27,2503.8254034780157,598.4718880705682
ALOHA138 (1)  TO  KALAELOA138 (35) CKT 2,1272 ACSR 45/7 BITTERN,138.0,25,2.0,90,0,12 Jun,0.8,0.8,EastWest,Clear,1000,27,2503.8254034780157,598.4718880705682
HONOLULU138 (5)  TO  TURTLE138 (9) CKT 1,556.5 ACSR 26/7 DOVE,138.0,25,2.0,90,0,12 Jun,0.8,0.8,EastWest,Clear,1000,27,1452.4060852490304,347.1584763365478
HONOLULU138 (5)  TO  KAILUA138 (14) CKT 1,556.5 ACSR 26/7 DOVE,138.0,25,2.0,90,0,12 Jun,0.8,0.8,EastWest,Clear,1000,27,1452.4060852490304,347.1584763365478
TURTLE138 (9)  TO  KAILUA138 (14) CKT 1,556.5 ACSR 26/7 DOVE,138.0,25,2.0,90,0,12 Jun,0.8,0.8,EastWest,Clear,1000,27,1452.4060852490304,347.1584763365478
WAIPAHU138 (22)  TO  EWA BEACH138 (25) CKT 1,1272 ACSR 45/7 BITTERN,138.0,25,2.0,90,0,12 Jun,0.8,0.8,EastWest,Clear,1000,27,2503.8254034780157,598.4718880705682
WAIPAHU138 (22)  TO  KAHE138 (37) CKT 1,1272 ACSR 45/7 BITTERN,138.0,25,2.0,90,0,12 Jun,0.8,0.8,EastWest,Clear,1000,27,2503.8254034780157,598.4718880705682
EWA BEACH138 (25)  TO  KALAELOA138 (35) CKT 1,556.5 ACSR 26/7 DOVE,138.0,25,2.0,90,0,12 Jun,0.8,0.8,EastWest,Clear,1000,27,1452.4060852490304,347.1584763365478
EWA BEACH138 (25)  TO  KALAELOA138 (35) CKT 2,556.5 ACSR 26/7 DOVE,138.0,25,2.0,90,0,12 Jun,0.8,0.8,EastWest,Clear,1000,27,1452.4060852490304,347.1584763365478
EWA BEACH138 (25)  TO  KAHE138 (37) CKT 1,795 ACSR 26/7 DRAKE,138.0,25,2.0,90,0,12 Jun,0.8,0.8,EastWest,Clear,1000,27,1874.7854755358192,448.11687017498997
EWA BEACH138 (25)  TO  KAHE138 (37) CKT 2,795 ACSR 26/7 DRAKE,138.0,25,2.0,90,0,12 Jun,0.8,0.8,EastWest,Clear,1000,27,1874.7854755358192,448.11687017498997
KALAELOA138 (35)  TO  KAHE138 (37) CKT 1,1272 ACSR 45/7 BITTERN,138.0,25,2.0,90,0,12 Jun,0.8,0.8,EastWest,Clear,1000,27,2503.8254034780157,598.4718880705682
ALOHA69 (2)  TO  WAVE69 (4) CKT 1,336.4 ACSR 30/7 ORIOLE,69.0,25,2.0,90,0,12 Jun,0.8,0.8,EastWest,Clear,1000,27,1028.2767955212114,122.89090813199275
ALOHA69 (2)  TO  HONOLULU69 (6) CKT 1,336.4 ACSR 30/7 ORIOLE,69.0,25,2.0,90,0,12 Jun,0.8,0.8,EastWest,Clear,1000,27,1028.2767955212114,122.89090813199275
